"filename", "language", "JavaScript", "Markdown", "JSON", "Python", "JavaScript JSX", "CSS", "HTML", "YAML", "Docker", "TOML", "pip requirements", "comment", "blank", "total"
"/Users/mago/Documents/messenger/backend/services/group_service.py", "Python", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 18, 79
"/Users/mago/Documents/messenger/backend/services/message_service.py", "Python", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 17, 77
"/Users/mago/Documents/messenger/backend/services/post_service.py", "Python", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 22, 74
"/Users/mago/Documents/messenger/backend/services/user_service.py", "Python", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 37, 128
"/Users/mago/Documents/messenger/backend/utils/config/config.py", "Python", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 19, 76
"/Users/mago/Documents/messenger/backend/utils/config/constants.py", "Python", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/mago/Documents/messenger/backend/utils/dependencies.py", "Python", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118
"/Users/mago/Documents/messenger/backend/utils/redis_cache.py", "Python", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23
"/Users/mago/Documents/messenger/backend/utils/s3_client.py", "Python", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
"/Users/mago/Documents/messenger/backend/utils/websocket_manager.py", "Python", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"/Users/mago/Documents/messenger/frontend/.eslintrc.cjs", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/mago/Documents/messenger/frontend/README.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"/Users/mago/Documents/messenger/frontend/index.html", "HTML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"/Users/mago/Documents/messenger/frontend/package-lock.json", "JSON", 0, 0, 7013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7014
"/Users/mago/Documents/messenger/frontend/package.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"/Users/mago/Documents/messenger/frontend/postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/mago/Documents/messenger/frontend/src/components/cards/ChatMessage.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 2, 38
"/Users/mago/Documents/messenger/frontend/src/components/cards/GroupListCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 6, 73
"/Users/mago/Documents/messenger/frontend/src/components/cards/Post.jsx", "JavaScript JSX", 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 8, 152
"/Users/mago/Documents/messenger/frontend/src/components/forms/LoginForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 7, 111
"/Users/mago/Documents/messenger/frontend/src/components/forms/RegisterForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 6, 163
"/Users/mago/Documents/messenger/frontend/src/components/inputs/InputWithIEmoji.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/mago/Documents/messenger/frontend/src/components/logo/AppLogo.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/mago/Documents/messenger/frontend/src/components/menu/ChatHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 2, 55
"/Users/mago/Documents/messenger/frontend/src/components/menu/MainPageHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 9, 154
